PlayerMass|50
BreakableMass|25
BouncePower|0.8
FrictionValue|0.1
NormalBlock|-0.4385522,6.882116,-3.040939
NormalBlock|-0.4385522,6.882116,-3.040939
NormalBlock|-0.4385522,6.882116,-3.040939
NormalBlock|-0.4385522,6.882116,-3.040939
NormalBlock|-0.4385522,6.882116,-3.040939
NormalBlock|-0.4385522,6.882116,-5.040939
NormalBlock|-2.438552,6.882116,-5.040939
NormalBlock|-2.438552,6.882116,-3.040939
NormalBlock|-2.438552,6.882116,-1.040939
NormalBlock|0.5614479,6.882116,-1.040939
NormalBlock|1.561448,6.882116,-1.040939
NormalBlock|1.561448,6.882116,-3.040939
NormalBlock|1.561448,6.882116,-5.040939
NormalBlock|-0.4385522,6.882116,-1.040939
NormalBlock|-1.438552,6.882116,-1.040939
