PlayerMass|50
BreakableMass|25
BouncePower|0.8
FrictionValue|0.1
NormalBlock|-0.4385522,6.882116,-3.040939
NormalBlock|-0.4385522,6.882116,-3.040939
NormalBlock|-0.4385522,6.882116,-3.040939
NormalBlock|-0.4385522,6.882116,-3.040939
NormalBlock|-2.438552,6.882116,-3.040939
NormalBlock|-2.438552,6.882116,-5.040939
NormalBlock|-1.438552,6.882116,-5.040939
NormalBlock|-1.438552,6.882116,-3.040939
NormalBlock|-1.438552,6.882116,-2.040939
NormalBlock|-0.4385521,6.882116,-4.040939
NormalBlock|-0.4385522,6.882116,-5.040939
NormalBlock|-0.4385522,6.882116,-7.040939
NormalBlock|-0.4385522,6.882116,-9.040939
NormalBlock|-4.438552,6.882116,-9.040939
NormalBlock|-5.438552,6.882116,-9.040939
NormalBlock|-6.438552,6.882116,-9.040939
NormalBlock|-6.438552,6.882116,-6.040939
NormalBlock|-6.438552,6.882116,-5.040939
NormalBlock|-6.438552,6.882116,-4.040939
NormalBlock|-6.438552,6.882116,-3.040939
NormalBlock|-6.438552,6.882116,-2.040939
NormalBlock|-6.438552,6.882116,0.9590607
NormalBlock|-4.438552,6.882116,0.9590607
NormalBlock|-2.438552,6.882116,0.9590607
NormalBlock|-1.438552,6.882116,0.9590607
NormalBlock|-0.4385519,6.882116,0.9590607
NormalBlock|0.5614481,6.882116,0.9590607
NormalBlock|-5.438552,6.882116,0.9590607
NormalBlock|-5.438552,6.882116,-0.04093933
NormalBlock|-6.438552,6.882116,-0.04093933
NormalBlock|-5.438552,6.882116,-1.040939
NormalBlock|-5.438552,6.882116,-2.040939
NormalBlock|-5.438552,6.882116,-4.040939
NormalBlock|-5.438552,6.882116,-5.040939
NormalBlock|-5.438552,6.882116,-6.040939
NormalBlock|-5.438552,6.882116,-7.040939
NormalBlock|-5.438552,6.882116,-8.040939
NormalBlock|-4.438552,6.882116,-8.040939
NormalBlock|-3.438552,6.882116,-8.040939
NormalBlock|-2.438552,6.882116,-9.040939
NormalBlock|-3.438552,6.882116,-9.040939
NormalBlock|-2.438552,6.882116,-8.040939
NormalBlock|-2.438552,6.882116,-7.040939
NormalBlock|-3.438552,6.882116,-7.040939
NormalBlock|-4.438552,6.882116,-7.040939
NormalBlock|-4.438552,6.882116,-6.040939
NormalBlock|-3.438552,6.882116,-6.040939
NormalBlock|-3.438552,6.882116,-5.040939
NormalBlock|-4.438552,6.882116,-5.040939
NormalBlock|-4.438552,6.882116,-4.040939
NormalBlock|-3.438552,6.882116,-4.040939
NormalBlock|-3.438552,6.882116,-3.040939
NormalBlock|-4.438552,6.882116,-3.040939
NormalBlock|-4.438552,6.882116,-2.040939
NormalBlock|-3.438552,6.882116,-2.040939
NormalBlock|-3.438552,6.882116,-1.040939
NormalBlock|-4.438552,6.882116,-1.040939
NormalBlock|-4.438552,6.882116,-0.04093933
NormalBlock|-3.438552,6.882116,-0.04093933
NormalBlock|-3.438552,6.882116,0.9590607
NormalBlock|-2.438552,6.882116,-0.04093933
NormalBlock|-2.438552,6.882116,-2.040939
NormalBlock|-2.438552,6.882116,-4.040939
NormalBlock|-2.438552,6.882116,-6.040939
NormalBlock|-1.438552,6.882116,-7.040939
NormalBlock|-1.438552,6.882116,-8.040939
NormalBlock|-1.438552,6.882116,-9.040939
NormalBlock|0.5614479,6.882116,-9.040939
NormalBlock|0.5614479,6.882116,-8.040939
NormalBlock|0.5614479,6.882116,-7.040939
NormalBlock|0.5614479,6.882116,-6.040939
NormalBlock|0.5614479,6.882116,-4.040939
NormalBlock|0.5614479,6.882116,-2.040939
NormalBlock|0.5614479,6.882116,-1.040939
NormalBlock|0.5614479,6.882116,-0.04093933
NormalBlock|-0.4385521,6.882116,-0.04093933
NormalBlock|-1.438552,6.882116,-0.04093933
NormalBlock|-1.438552,6.882116,-1.040939
NormalBlock|-2.438552,6.882116,-1.040939
NormalBlock|-0.4385521,6.882116,-1.040939
NormalBlock|-0.4385521,6.882116,-2.040939
NormalBlock|-1.438552,6.882116,-4.040939
NormalBlock|-1.438552,6.882116,-6.040939
NormalBlock|-0.438552,6.882116,-6.040939
NormalBlock|-0.4385522,6.882116,-8.040939
NormalBlock|0.5614479,6.882116,-5.040939
NormalBlock|0.5614479,6.882116,-3.040939
NormalBlock|-5.438552,6.882116,-3.040939
NormalBlock|-6.438552,6.882116,-1.040939
NormalBlock|-6.438552,6.882116,-7.040939
NormalBlock|-6.438552,6.882116,-8.040939
Breakable|-5.438552,7.882116,-9.040939
Breakable|-5.438552,8.882116,-9.040939
Breakable|-4.438552,7.882116,-9.040939
Breakable|-4.438552,8.882116,-9.040939
Breakable|-3.438552,7.882116,-9.040939
Breakable|-3.438552,8.882116,-9.040939
Breakable|-2.438552,7.882116,-9.040939
Breakable|-2.438552,8.882116,-9.040939
Breakable|-1.438552,7.882116,-9.040939
Breakable|-1.438551,8.882116,-9.040939
Breakable|-0.4385512,7.882116,-9.040939
Breakable|-0.4385509,8.882116,-9.040939
Breakable|0.5614489,7.882116,-9.040939
Breakable|0.5614491,8.882116,-9.040939
Breakable|-6.438552,7.882117,-9.040939
Breakable|-6.438552,8.882116,-9.040939
Player|1|-5.382417,7.882116,-2.748341
Player|2|-1.438552,7.882116,-3.040939
Bomb|-6.438552,6.882116,1.959061
MultiDirectionalBoost|-5.438552,6.882116,1.959061
OneWayBoost|-4.438552,6.882116,1.959061
SlowBlock|-3.438552,6.882116,1.959061
